CUPS;FECHA-HORA;INV / VER;PERIODO TARIFARIO;CONSUMO Wh;GENERACION Wh;
ES0021000008305769EY;2024/07/10 17:00;1;Llano;0;2953;
ES0021000008305769EY;2024/07/10 18:00;1;Llano;0;2063;
ES0021000008305769EY;2024/07/10 19:00;1;Punta;0;1577;
ES0021000008305769EY;2024/07/10 20:00;1;Punta;0;742;
ES0021000008305769EY;2024/07/10 21:00;1;Punta;11;86;
ES0021000008305769EY;2024/07/10 22:00;1;Punta;14;0;
ES0021000008305769EY;2024/07/10 23:00;1;Llano;15;1;
ES0021000008305769EY;2024/07/11 00:00;1;Llano;14;0;
ES0021000008305769EY;2024/07/11 01:00;1;Valle;14;0;
ES0021000008305769EY;2024/07/11 02:00;1;Valle;20;0;
ES0021000008305769EY;2024/07/11 03:00;1;Valle;23;0;
ES0021000008305769EY;2024/07/11 04:00;1;Valle;23;0;
ES0021000008305769EY;2024/07/11 05:00;1;Valle;23;0;
ES0021000008305769EY;2024/07/11 06:00;1;Valle;108;0;
ES0021000008305769EY;2024/07/11 07:00;1;Valle;317;0;
ES0021000008305769EY;2024/07/11 08:00;1;Valle;228;0;
ES0021000008305769EY;2024/07/11 09:00;1;Llano;160;0;
ES0021000008305769EY;2024/07/11 10:00;1;Llano;69;0;
ES0021000008305769EY;2024/07/11 11:00;1;Punta;205;7;
ES0021000008305769EY;2024/07/11 12:00;1;Punta;54;15;
ES0021000008305769EY;2024/07/11 13:00;1;Punta;43;1;
ES0021000008305769EY;2024/07/11 14:00;1;Punta;7;1441;
ES0021000008305769EY;2024/07/11 15:00;1;Llano;0;2895;
ES0021000008305769EY;2024/07/11 16:00;1;Llano;0;3087;
ES0021000008305769EY;2024/07/11 17:00;1;Llano;0;2509;
ES0021000008305769EY;2024/07/11 18:00;1;Llano;0;1908;
ES0021000008305769EY;2024/07/11 19:00;1;Punta;0;1353;
ES0021000008305769EY;2024/07/11 20:00;1;Punta;0;525;
ES0021000008305769EY;2024/07/11 21:00;1;Punta;23;3;
ES0021000008305769EY;2024/07/11 22:00;1;Punta;22;0;
ES0021000008305769EY;2024/07/11 23:00;1;Llano;22;0;
ES0021000008305769EY;2024/07/12 00:00;1;Llano;23;0;
ES0021000008305769EY;2024/07/12 01:00;1;Valle;23;1;
ES0021000008305769EY;2024/07/12 02:00;1;Valle;22;0;
ES0021000008305769EY;2024/07/12 03:00;1;Valle;23;0;
ES0021000008305769EY;2024/07/12 04:00;1;Valle;23;0;
ES0021000008305769EY;2024/07/12 05:00;1;Valle;22;0;
ES0021000008305769EY;2024/07/12 06:00;1;Valle;350;0;
ES0021000008305769EY;2024/07/12 07:00;1;Valle;476;0;
ES0021000008305769EY;2024/07/12 08:00;1;Valle;326;0;
ES0021000008305769EY;2024/07/12 09:00;1;Llano;202;0;
ES0021000008305769EY;2024/07/12 10:00;1;Llano;104;0;
ES0021000008305769EY;2024/07/12 11:00;1;Punta;58;2;
ES0021000008305769EY;2024/07/12 12:00;1;Punta;54;1;
ES0021000008305769EY;2024/07/12 13:00;1;Punta;37;63;
